Model,Parameter,Accuracy,F1 Score
Logistic Regression,max_iter=100,0.9258,0.9256637959209324
Logistic Regression,max_iter=500,0.9262,0.9260362665058505
Logistic Regression,max_iter=1000,0.9262,0.9260362665058505
KNN,n_neighbors=3,0.9705,0.9704523390961245
KNN,n_neighbors=5,0.9688,0.9687470572168784
KNN,n_neighbors=7,0.9694,0.9693569043443881
SVM,C=1,0.9792,0.9791856837674859
SVM,C=10,0.9837,0.9836954484859449
SVM,C=100,0.9833,0.9832926228555976
Random Forest,n_estimators=50,0.968,0.9679654471153419
Random Forest,n_estimators=100,0.9691,0.9690821892836046
Random Forest,n_estimators=200,0.9702,0.9701830330470711
CNN,epochs=5,0.9876999855041504,
CNN,epochs=10,0.9919000267982483,
CNN,epochs=15,0.9932000041007996,
MLP,"hidden_layers=(64, 32)",0.975,0.9749914649696771
MLP,"hidden_layers=(128, 64)",0.9786,0.9785945084205967
MLP,"hidden_layers=(256, 128)",0.9806,0.9805989917694117
