Model,Parameter,Accuracy,F1 Score
Logistic Regression,max_iter=100,0.9258,0.9256637959209324
Logistic Regression,max_iter=500,0.9262,0.9260362665058505
Logistic Regression,max_iter=1000,0.9262,0.9260362665058505
KNN,n_neighbors=3,0.9705,0.9704523390961245
KNN,n_neighbors=5,0.9688,0.9687470572168784
KNN,n_neighbors=7,0.9694,0.9693569043443881
SVM,C=1,0.9792,0.9791856837674859
SVM,C=10,0.9837,0.9836954484859449
SVM,C=100,0.9833,0.9832926228555976
Random Forest,n_estimators=50,0.9666,0.966567334555742
Random Forest,n_estimators=100,0.9684,0.9683762773802511
Random Forest,n_estimators=200,0.971,0.9709851218151023
CNN,epochs=5,0.9894999861717224,
CNN,epochs=10,0.9915000200271606,
CNN,epochs=15,0.9908999800682068,
MLP,"hidden_layers=(64, 32)",0.9747,0.9746985925543933
MLP,"hidden_layers=(128, 64)",0.9785,0.9784939791050172
MLP,"hidden_layers=(256, 128)",0.9808,0.9808010536457669
